EmployeeID,Age,BusinessTravel,Department,DistanceFromHome,Education,JobRole,MonthlyIncome,NumCompaniesWorked,PercentSalaryHike,TrainingTimesLastYear,YearsAtCompany,YearsSinceLastPromotion,EnvironmentSatisfaction,JobSatisfaction,WorkLifeBalance,JobInvolvement,PerformanceRating
18,37,Non-Travel,Research & Development,1,3,Sales Executive,41270,2.0,13,2,5,0,1.0,4.0,3.0,3,3
18,37,Non-Travel,Research & Development,1,3,Sales Executive,41270,2.0,13,2,5,0,1.0,4.0,3.0,3,3
19,35,Travel_Rarely,Sales,7,4,Sales Representative,24380,7.0,16,5,7,6,2.0,2.0,2.0,2,3
19,35,Travel_Rarely,Sales,7,4,Sales Representative,24380,7.0,16,5,7,6,2.0,2.0,2.0,2,3
20,38,Travel_Rarely,Research & Development,8,3,Manager,68700,1.0,11,5,8,7,1.0,1.0,3.0,3,3
20,38,Travel_Rarely,Research & Development,8,3,Manager,68700,1.0,11,5,8,7,1.0,1.0,3.0,3,3
21,26,Travel_Frequently,Research & Development,1,4,Laboratory Technician,104470,1.0,18,3,6,1,3.0,2.0,1.0,3,3
21,26,Travel_Frequently,Research & Development,1,4,Laboratory Technician,104470,1.0,18,3,6,1,3.0,2.0,1.0,3,3
22,50,Travel_Rarely,Sales,8,4,Research Scientist,96670,3.0,23,2,10,1,1.0,2.0,2.0,2,4
22,50,Travel_Rarely,Sales,8,4,Research Scientist,96670,3.0,23,2,10,1,1.0,2.0,2.0,2,4
23,53,Travel_Rarely,Research & Development,11,4,Research Scientist,21480,3.0,11,2,5,1,3.0,3.0,2.0,3,3
23,53,Travel_Rarely,Research & Development,11,4,Research Scientist,21480,3.0,11,2,5,1,3.0,3.0,2.0,3,3
24,42,Travel_Rarely,Research & Development,4,4,Manufacturing Director,89260,1.0,14,4,20,11,2.0,3.0,3.0,1,3
24,42,Travel_Rarely,Research & Development,4,4,Manufacturing Director,89260,1.0,14,4,20,11,2.0,3.0,3.0,1,3
25,29,Travel_Frequently,Research & Development,16,4,Laboratory Technician,65130,1.0,11,2,10,0,2.0,4.0,2.0,3,3
25,29,Travel_Frequently,Research & Development,16,4,Laboratory Technician,65130,1.0,11,2,10,0,2.0,4.0,2.0,3,3
26,55,Travel_Rarely,Research & Development,1,4,Research Scientist,67990,3.0,11,2,10,0,2.0,4.0,3.0,3,3
26,55,Travel_Rarely,Research & Development,1,4,Research Scientist,67990,3.0,11,2,10,0,2.0,4.0,3.0,3,3
27,26,Travel_Frequently,Research & Development,9,3,Manager,162910,1.0,22,3,5,3,1.0,1.0,3.0,3,4
27,26,Travel_Frequently,Research & Development,9,3,Manager,162910,1.0,22,3,5,3,1.0,1.0,3.0,3,4
28,37,Travel_Rarely,Sales,5,1,Research Scientist,27050,1.0,11,2,17,5,4.0,4.0,3.0,3,3
28,37,Travel_Rarely,Sales,5,1,Research Scientist,27050,1.0,11,2,17,5,4.0,4.0,3.0,3,3
4439,44,Travel_Frequently,Research & Development,1,2,Research Scientist,103330,3.0,14,2,1,0,4.0,3.0,1.0,2,3
30,38,Travel_Rarely,Sales,2,3,Manager,44480,9.0,12,3,2,1,4.0,4.0,3.0,2,3
30,38,Travel_Rarely,Sales,2,3,Manager,44480,9.0,12,3,2,1,4.0,4.0,3.0,2,3
4441,26,Travel_Rarely,Research & Development,4,3,Research Scientist,68540,2.0,11,5,3,0,1.0,2.0,3.0,2,3
32,28,Travel_Rarely,Research & Development,7,3,Human Resources,96370,1.0,13,6,5,0,4.0,4.0,3.0,2,3
32,28,Travel_Rarely,Research & Development,7,3,Human Resources,96370,1.0,13,6,5,0,4.0,4.0,3.0,2,3
33,49,Travel_Frequently,Research & Development,1,1,Research Scientist,35910,9.0,13,2,3,1,3.0,1.0,3.0,3,3
33,49,Travel_Frequently,Research & Development,1,1,Research Scientist,35910,9.0,13,2,3,1,3.0,1.0,3.0,3,3
34,36,Travel_Rarely,Sales,5,3,Sales Executive,54050,4.0,14,2,8,7,3.0,2.0,3.0,3,3
34,36,Travel_Rarely,Sales,5,3,Sales Executive,54050,4.0,14,2,8,7,3.0,2.0,3.0,3,3
35,31,Travel_Frequently,Research & Development,9,4,Sales Executive,46840,1.0,16,4,2,2,4.0,2.0,2.0,3,3
35,31,Travel_Frequently,Research & Development,9,4,Sales Executive,46840,1.0,16,4,2,2,4.0,2.0,2.0,3,3
4446,26,Travel_Rarely,Research & Development,8,3,Manager,157870,1.0,12,5,8,7,4.0,4.0,3.0,3,3
37,37,Travel_Frequently,Sales,9,1,Laboratory Technician,15140,1.0,14,3,4,1,2.0,4.0,2.0,3,3
37,37,Travel_Frequently,Sales,9,1,Laboratory Technician,15140,1.0,14,3,4,1,2.0,4.0,2.0,3,3
38,42,Travel_Frequently,Sales,2,2,Research Director,29560,5.0,13,2,20,4,3.0,2.0,4.0,3,3
38,42,Travel_Frequently,Sales,2,2,Research Director,29560,5.0,13,2,20,4,3.0,2.0,4.0,3,3
4449,18,Travel_Rarely,Research & Development,1,4,Sales Executive,23350,1.0,14,3,0,0,3.0,3.0,3.0,2,3
40,35,Travel_Rarely,Sales,20,2,Laboratory Technician,51540,0.0,19,2,11,6,3.0,2.0,2.0,2,3
40,35,Travel_Rarely,Sales,20,2,Laboratory Technician,51540,0.0,19,2,11,6,3.0,2.0,2.0,2,3
41,36,Travel_Frequently,Research & Development,8,3,Sales Executive,69620,4.0,12,2,1,0,3.0,,3.0,2,3
41,36,Travel_Frequently,Research & Development,8,3,Sales Executive,69620,4.0,12,2,1,0,3.0,,3.0,2,3
42,51,Travel_Rarely,Research & Development,2,3,Laboratory Technician,56750,5.0,13,2,4,1,4.0,2.0,3.0,2,3
42,51,Travel_Rarely,Research & Development,2,3,Laboratory Technician,56750,5.0,13,2,4,1,4.0,2.0,3.0,2,3
43,41,Travel_Rarely,Research & Development,29,1,Laboratory Technician,23790,1.0,12,6,22,0,4.0,2.0,3.0,3,3
43,41,Travel_Rarely,Research & Development,29,1,Laboratory Technician,23790,1.0,12,6,22,0,4.0,2.0,3.0,3,3
44,18,Travel_Rarely,Sales,7,3,Research Scientist,38120,1.0,15,3,0,0,4.0,3.0,3.0,3,3
44,18,Travel_Rarely,Sales,7,3,Research Scientist,38120,1.0,15,3,0,0,4.0,3.0,3.0,3,3
45,28,Travel_Rarely,Research & Development,9,3,Sales Representative,46480,0.0,23,2,8,0,2.0,1.0,3.0,2,4
45,28,Travel_Rarely,Research & Development,9,3,Sales Representative,46480,0.0,23,2,8,0,2.0,1.0,3.0,2,4
46,31,Travel_Rarely,Research & Development,8,1,Manufacturing Director,29360,4.0,12,2,8,7,2.0,4.0,2.0,3,3
46,31,Travel_Rarely,Research & Development,8,1,Manufacturing Director,29360,4.0,12,2,8,7,2.0,4.0,2.0,3,3
47,39,Travel_Rarely,Sales,5,4,Human Resources,21050,0.0,20,3,18,3,3.0,4.0,2.0,3,4
47,39,Travel_Rarely,Sales,5,4,Human Resources,21050,0.0,20,3,18,3,3.0,4.0,2.0,3,4
48,36,Non-Travel,Research & Development,5,4,Sales Executive,85780,7.0,21,4,9,0,2.0,2.0,3.0,3,4
48,36,Non-Travel,Research & Development,5,4,Sales Executive,85780,7.0,21,4,9,0,2.0,2.0,3.0,3,4
49,32,Travel_Rarely,Sales,2,3,Laboratory Technician,27060,1.0,21,4,13,4,4.0,3.0,2.0,3,4
49,32,Travel_Rarely,Sales,2,3,Laboratory Technician,27060,1.0,21,4,13,4,4.0,3.0,2.0,3,4
50,38,Travel_Rarely,Research & Development,5,2,Research Scientist,63840,3.0,19,4,10,0,1.0,2.0,3.0,2,3
50,38,Travel_Rarely,Research & Development,5,2,Research Scientist,63840,3.0,19,4,10,0,1.0,2.0,3.0,2,3
51,58,Non-Travel,Research & Development,2,3,Manufacturing Director,39680,2.0,13,3,5,1,4.0,3.0,3.0,2,3
51,58,Non-Travel,Research & Development,2,3,Manufacturing Director,39680,2.0,13,3,5,1,4.0,3.0,3.0,2,3
52,31,Travel_Rarely,Research & Development,20,1,Research Scientist,99070,0.0,13,3,5,0,3.0,4.0,3.0,2,3
52,31,Travel_Rarely,Research & Development,20,1,Research Scientist,99070,0.0,13,3,5,0,3.0,4.0,3.0,2,3
53,31,Travel_Rarely,Sales,7,4,Sales Executive,132250,3.0,21,2,2,1,1.0,1.0,3.0,3,4
53,31,Travel_Rarely,Sales,7,4,Sales Executive,132250,3.0,21,2,2,1,1.0,1.0,3.0,3,4
54,45,Travel_Frequently,Research & Development,3,1,Sales Executive,35400,1.0,13,6,24,9,1.0,1.0,3.0,3,3
54,45,Travel_Frequently,Research & Development,3,1,Sales Executive,35400,1.0,13,6,24,9,1.0,1.0,3.0,3,3
55,31,Travel_Rarely,Sales,16,4,Research Scientist,28040,0.0,19,0,2,2,3.0,4.0,1.0,3,3
55,31,Travel_Rarely,Sales,16,4,Research Scientist,28040,0.0,19,0,2,2,3.0,4.0,1.0,3,3
56,33,Travel_Frequently,Research & Development,9,3,Research Director,193920,6.0,12,3,10,8,4.0,2.0,3.0,3,3
56,33,Travel_Frequently,Research & Development,9,3,Research Director,193920,6.0,12,3,10,8,4.0,2.0,3.0,3,3
57,39,Travel_Rarely,Sales,1,4,Sales Executive,196650,1.0,22,6,21,11,3.0,1.0,3.0,3,4
57,39,Travel_Rarely,Sales,1,4,Sales Executive,196650,1.0,22,6,21,11,3.0,1.0,3.0,3,4
58,43,Travel_Frequently,Research & Development,7,4,Research Scientist,24390,0.0,15,2,8,1,3.0,4.0,3.0,3,3
58,43,Travel_Frequently,Research & Development,7,4,Research Scientist,24390,0.0,15,2,8,1,3.0,4.0,3.0,3,3
59,49,Travel_Rarely,Research & Development,1,3,Manufacturing Director,73140,7.0,22,2,7,0,3.0,3.0,3.0,3,4
59,49,Travel_Rarely,Research & Development,1,3,Manufacturing Director,73140,7.0,22,2,7,0,3.0,3.0,3.0,3,4
4470,52,Travel_Rarely,Research & Development,7,1,Research Scientist,47740,2.0,18,2,8,7,3.0,2.0,2.0,3,3
61,27,Travel_Rarely,Research & Development,15,4,Research Scientist,39020,1.0,22,2,4,1,3.0,2.0,2.0,3,4
61,27,Travel_Rarely,Research & Development,15,4,Research Scientist,39020,1.0,22,2,4,1,3.0,2.0,2.0,3,4
62,32,Travel_Rarely,Research & Development,1,3,Research Scientist,26620,1.0,11,6,13,11,3.0,2.0,3.0,4,3
62,32,Travel_Rarely,Research & Development,1,3,Research Scientist,26620,1.0,11,6,13,11,3.0,2.0,3.0,4,3
63,27,Travel_Rarely,Research & Development,13,2,Research Director,28560,1.0,12,5,5,0,4.0,3.0,3.0,4,3
63,27,Travel_Rarely,Research & Development,13,2,Research Director,28560,1.0,12,5,5,0,4.0,3.0,3.0,4,3
64,31,Travel_Rarely,Sales,24,3,Healthcare Representative,10810,4.0,11,4,7,1,4.0,4.0,3.0,4,3
64,31,Travel_Rarely,Sales,24,3,Healthcare Representative,10810,4.0,11,4,7,1,4.0,4.0,3.0,4,3
65,32,Travel_Rarely,Research & Development,7,3,Healthcare Representative,24720,7.0,13,2,7,0,1.0,4.0,2.0,3,3
65,32,Travel_Rarely,Research & Development,7,3,Healthcare Representative,24720,7.0,13,2,7,0,1.0,4.0,2.0,3,3
4476,28,Travel_Rarely,Research & Development,9,4,Sales Executive,56730,5.0,14,4,3,2,1.0,4.0,2.0,2,3
67,30,Travel_Rarely,Research & Development,13,3,Research Director,41970,1.0,13,3,10,1,4.0,4.0,3.0,3,3
67,30,Travel_Rarely,Research & Development,13,3,Research Director,41970,1.0,13,3,10,1,4.0,4.0,3.0,3,3
68,31,Travel_Frequently,Research & Development,2,1,Manager,97130,1.0,17,5,10,8,3.0,3.0,3.0,2,3
68,31,Travel_Frequently,Research & Development,2,1,Manager,97130,1.0,17,5,10,8,3.0,3.0,3.0,2,3
69,39,Travel_Frequently,Research & Development,19,4,Research Scientist,20620,1.0,13,4,21,13,3.0,4.0,3.0,3,3
69,39,Travel_Frequently,Research & Development,19,4,Research Scientist,20620,1.0,13,4,21,13,3.0,4.0,3.0,3,3
4480,39,Travel_Rarely,Research & Development,1,1,Laboratory Technician,42840,4.0,17,0,1,0,4.0,3.0,2.0,3,3
71,33,Travel_Frequently,Sales,4,2,Research Scientist,47880,3.0,11,0,7,0,2.0,4.0,2.0,3,3
71,33,Travel_Frequently,Sales,4,2,Research Scientist,47880,3.0,11,0,7,0,2.0,4.0,2.0,3,3
72,47,Travel_Rarely,Research & Development,4,3,Healthcare Representative,59060,4.0,23,4,3,1,4.0,3.0,3.0,4,4
72,47,Travel_Rarely,Research & Development,4,3,Healthcare Representative,59060,4.0,23,4,3,1,4.0,3.0,3.0,4,4
73,43,Travel_Frequently,Research & Development,14,3,Research Director,38860,1.0,17,2,9,0,3.0,3.0,4.0,3,3
73,43,Travel_Frequently,Research & Development,14,3,Research Director,38860,1.0,17,2,9,0,3.0,3.0,4.0,3,3
74,27,Non-Travel,Research & Development,2,3,Research Director,168230,0.0,17,3,5,1,3.0,2.0,3.0,3,3
74,27,Non-Travel,Research & Development,2,3,Research Director,168230,0.0,17,3,5,1,3.0,2.0,3.0,3,3
75,54,Travel_Frequently,Research & Development,1,4,Research Scientist,29330,3.0,12,2,4,0,4.0,3.0,2.0,3,3
75,54,Travel_Frequently,Research & Development,1,4,Research Scientist,29330,3.0,12,2,4,0,4.0,3.0,2.0,3,3
76,43,Travel_Rarely,Research & Development,7,2,Manager,65000,8.0,23,3,1,0,3.0,1.0,2.0,3,4
76,43,Travel_Rarely,Research & Development,7,2,Manager,65000,8.0,23,3,1,0,3.0,1.0,2.0,3,4
77,45,Travel_Rarely,Sales,3,1,Sales Executive,171740,9.0,14,6,10,9,4.0,4.0,3.0,3,3
77,45,Travel_Rarely,Sales,3,1,Sales Executive,171740,9.0,14,6,10,9,4.0,4.0,3.0,3,3
78,40,Travel_Rarely,Research & Development,2,4,Research Scientist,50330,2.0,14,6,4,0,2.0,4.0,2.0,3,3
78,40,Travel_Rarely,Research & Development,2,4,Research Scientist,50330,2.0,14,6,4,0,2.0,4.0,2.0,3,3
4489,29,Travel_Rarely,Research & Development,29,3,Research Scientist,23070,1.0,13,0,7,0,2.0,1.0,2.0,3,3
80,29,Travel_Rarely,Human Resources,8,3,Sales Representative,25870,0.0,22,3,3,2,2.0,4.0,3.0,3,4
80,29,Travel_Rarely,Human Resources,8,3,Sales Representative,25870,0.0,22,3,3,2,2.0,4.0,3.0,3,4
81,30,Travel_Rarely,Research & Development,10,3,Research Scientist,55070,1.0,12,2,10,1,4.0,3.0,3.0,2,3
81,30,Travel_Rarely,Research & Development,10,3,Research Scientist,55070,1.0,12,2,10,1,4.0,3.0,3.0,2,3
82,27,Travel_Rarely,Research & Development,11,2,Manager,43930,1.0,18,2,8,0,2.0,2.0,3.0,2,3
82,27,Travel_Rarely,Research & Development,11,2,Manager,43930,1.0,18,2,8,0,2.0,2.0,3.0,2,3
83,37,Travel_Rarely,Sales,1,4,Healthcare Representative,133480,7.0,14,4,6,0,4.0,4.0,2.0,3,3
83,37,Travel_Rarely,Sales,1,4,Healthcare Representative,133480,7.0,14,4,6,0,4.0,4.0,2.0,3,3
84,38,Travel_Rarely,Research & Development,28,4,Laboratory Technician,65830,0.0,12,1,11,2,3.0,4.0,3.0,3,3
84,38,Travel_Rarely,Research & Development,28,4,Laboratory Technician,65830,0.0,12,1,11,2,3.0,4.0,3.0,3,3
85,31,Travel_Rarely,Research & Development,6,3,Manager,81030,1.0,15,5,11,4,3.0,4.0,,3,3
85,31,Travel_Rarely,Research & Development,6,3,Manager,81030,1.0,15,5,11,4,3.0,4.0,,3,3
86,29,Travel_Rarely,Research & Development,3,4,Sales Executive,39780,1.0,11,0,7,1,4.0,2.0,3.0,3,3
86,29,Travel_Rarely,Research & Development,3,4,Sales Executive,39780,1.0,11,0,7,1,4.0,2.0,3.0,3,3
87,35,Travel_Rarely,Sales,16,2,Manager,25440,0.0,13,3,16,0,3.0,2.0,3.0,4,3
87,35,Travel_Rarely,Sales,16,2,Manager,25440,0.0,13,3,16,0,3.0,2.0,3.0,4,3
88,23,Travel_Rarely,Research & Development,20,4,Manufacturing Director,53990,1.0,23,2,4,0,3.0,4.0,2.0,2,4
88,23,Travel_Rarely,Research & Development,20,4,Manufacturing Director,53990,1.0,23,2,4,0,3.0,4.0,2.0,2,4
89,41,Travel_Rarely,Research & Development,9,2,Laboratory Technician,54870,6.0,19,0,5,1,4.0,2.0,3.0,3,3
89,41,Travel_Rarely,Research & Development,9,2,Laboratory Technician,54870,6.0,19,0,5,1,4.0,2.0,3.0,3,3
90,47,Travel_Frequently,Sales,1,3,Laboratory Technician,68340,3.0,16,2,0,0,2.0,3.0,3.0,4,3
90,47,Travel_Frequently,Sales,1,3,Laboratory Technician,68340,3.0,16,2,0,0,2.0,3.0,3.0,4,3
91,42,Travel_Rarely,Research & Development,3,4,Manager,10910,2.0,22,0,1,0,1.0,4.0,3.0,1,4
91,42,Travel_Rarely,Research & Development,3,4,Manager,10910,2.0,22,0,1,0,1.0,4.0,3.0,1,4
92,29,Non-Travel,Sales,22,4,Human Resources,57360,1.0,22,1,4,0,4.0,3.0,2.0,2,4
92,29,Non-Travel,Sales,22,4,Human Resources,57360,1.0,22,1,4,0,4.0,3.0,2.0,2,4
93,42,Travel_Rarely,Sales,7,4,Research Scientist,22260,0.0,12,3,3,1,3.0,3.0,3.0,2,3
93,42,Travel_Rarely,Sales,7,4,Research Scientist,22260,0.0,12,3,3,1,3.0,3.0,3.0,2,3
94,32,Travel_Rarely,Research & Development,2,3,Research Scientist,57470,1.0,13,0,8,0,3.0,2.0,3.0,3,3
94,32,Travel_Rarely,Research & Development,2,3,Research Scientist,57470,1.0,13,0,8,0,3.0,2.0,3.0,3,3
95,48,Travel_Rarely,Sales,13,4,Sales Executive,98540,3.0,16,2,0,0,1.0,3.0,1.0,2,3
95,48,Travel_Rarely,Sales,13,4,Sales Executive,98540,3.0,16,2,0,0,1.0,3.0,1.0,2,3
96,37,Travel_Rarely,Research & Development,8,5,Manufacturing Director,54670,4.0,12,2,7,6,3.0,1.0,3.0,3,3
96,37,Travel_Rarely,Research & Development,8,5,Manufacturing Director,54670,4.0,12,2,7,6,3.0,1.0,3.0,3,3
97,30,Non-Travel,Sales,25,4,Healthcare Representative,53800,7.0,21,0,2,2,4.0,3.0,4.0,3,4
97,30,Non-Travel,Sales,25,4,Healthcare Representative,53800,7.0,21,0,2,2,4.0,3.0,4.0,3,4
98,26,Travel_Rarely,Sales,28,3,Laboratory Technician,51510,1.0,15,3,8,7,3.0,3.0,3.0,3,3
98,26,Travel_Rarely,Sales,28,3,Laboratory Technician,51510,1.0,15,3,8,7,3.0,3.0,3.0,3,3
99,42,Travel_Rarely,Sales,2,2,Laboratory Technician,21330,3.0,13,2,1,0,1.0,4.0,3.0,3,3
99,42,Travel_Rarely,Sales,2,2,Laboratory Technician,21330,3.0,13,2,1,0,1.0,4.0,3.0,3,3
4510,21,Travel_Frequently,Research & Development,9,3,Manufacturing Director,178750,1.0,12,5,3,1,1.0,2.0,3.0,2,3
101,36,Non-Travel,Human Resources,28,3,Laboratory Technician,24320,4.0,22,4,1,0,4.0,4.0,3.0,1,4
101,36,Non-Travel,Human Resources,28,3,Laboratory Technician,24320,4.0,22,4,1,0,4.0,4.0,3.0,1,4
102,36,Travel_Frequently,Research & Development,6,3,Research Scientist,47710,4.0,13,2,13,1,1.0,4.0,3.0,3,3
102,36,Travel_Frequently,Research & Development,6,3,Research Scientist,47710,4.0,13,2,13,1,1.0,4.0,3.0,3,3
103,57,Travel_Rarely,Research & Development,21,4,Research Scientist,191610,2.0,18,2,3,1,4.0,3.0,3.0,1,3
103,57,Travel_Rarely,Research & Development,21,4,Research Scientist,191610,2.0,18,2,3,1,4.0,3.0,3.0,1,3
104,40,Travel_Rarely,Research & Development,8,3,Sales Executive,50870,3.0,14,3,7,1,4.0,3.0,3.0,3,3
104,40,Travel_Rarely,Research & Development,8,3,Sales Executive,50870,3.0,14,3,7,1,4.0,3.0,3.0,3,3
105,21,Non-Travel,Research & Development,1,5,Manager,28630,1.0,14,2,3,2,1.0,4.0,2.0,1,3
105,21,Non-Travel,Research & Development,1,5,Manager,28630,1.0,14,2,3,2,1.0,4.0,2.0,1,3
4516,33,Travel_Rarely,Human Resources,28,2,Manager,55610,1.0,21,3,1,0,4.0,3.0,3.0,1,4
107,37,Travel_Rarely,Research & Development,5,3,Research Scientist,21440,6.0,19,3,5,0,3.0,1.0,3.0,4,3
107,37,Travel_Rarely,Research & Development,5,3,Research Scientist,21440,6.0,19,3,5,0,3.0,1.0,3.0,4,3
108,46,Non-Travel,Sales,2,4,Laboratory Technician,30650,2.0,11,3,1,0,3.0,3.0,4.0,3,3
108,46,Non-Travel,Sales,2,4,Laboratory Technician,30650,2.0,11,3,1,0,3.0,3.0,4.0,3,3
4519,41,Travel_Frequently,Research & Development,16,1,Research Scientist,28100,1.0,11,3,8,7,1.0,2.0,3.0,4,3
110,50,Travel_Rarely,Research & Development,9,3,Laboratory Technician,98880,6.0,15,2,4,1,4.0,4.0,3.0,3,3
110,50,Travel_Rarely,Research & Development,9,3,Laboratory Technician,98880,6.0,15,2,4,1,4.0,4.0,3.0,3,3
4521,40,Travel_Rarely,Research & Development,8,3,Healthcare Representative,86280,2.0,20,2,6,1,3.0,3.0,3.0,2,4
112,31,Travel_Rarely,Research & Development,1,3,Human Resources,28670,0.0,24,5,2,2,,2.0,3.0,3,4
112,31,Travel_Rarely,Research & Development,1,3,Human Resources,28670,0.0,24,5,2,2,,2.0,3.0,3,4
4523,21,Travel_Rarely,Human Resources,10,2,Laboratory Technician,53730,1.0,12,2,1,0,3.0,2.0,3.0,3,3
114,29,Travel_Rarely,Research & Development,1,3,Research Director,66670,9.0,12,6,3,1,4.0,4.0,3.0,4,3
114,29,Travel_Rarely,Research & Development,1,3,Research Director,66670,9.0,12,6,3,1,4.0,4.0,3.0,4,3
115,35,Travel_Rarely,Research & Development,29,3,Sales Executive,50030,9.0,15,2,1,0,3.0,2.0,3.0,3,3
115,35,Travel_Rarely,Research & Development,29,3,Sales Executive,50030,9.0,15,2,1,0,3.0,2.0,3.0,3,3
116,27,Travel_Rarely,Sales,2,3,Sales Executive,23670,,12,2,5,0,4.0,2.0,3.0,3,3
116,27,Travel_Rarely,Sales,2,3,Sales Executive,23670,,12,2,5,0,4.0,2.0,3.0,3,3
117,28,Travel_Rarely,Research & Development,2,2,Manager,28580,1.0,12,2,7,0,2.0,4.0,3.0,2,3
117,28,Travel_Rarely,Research & Development,2,2,Manager,28580,1.0,12,2,7,0,2.0,4.0,3.0,2,3
118,49,Travel_Rarely,Sales,2,3,Manufacturing Director,52040,8.0,14,3,5,0,2.0,3.0,3.0,3,3
118,49,Travel_Rarely,Sales,2,3,Manufacturing Director,52040,8.0,14,3,5,0,2.0,3.0,3.0,3,3
119,51,Travel_Rarely,Research & Development,1,2,Sales Executive,41050,4.0,22,2,7,0,3.0,4.0,2.0,3,4
119,51,Travel_Rarely,Research & Development,1,2,Sales Executive,41050,4.0,22,2,7,0,3.0,4.0,2.0,3,4
120,36,Travel_Rarely,Sales,15,2,Sales Executive,96790,4.0,12,1,2,2,4.0,3.0,3.0,3,3
120,36,Travel_Rarely,Sales,15,2,Sales Executive,96790,4.0,12,1,2,2,4.0,3.0,3.0,3,3
4531,34,Non-Travel,Research & Development,7,3,Sales Representative,56170,8.0,25,3,5,0,1.0,4.0,2.0,3,4
122,55,Travel_Rarely,Sales,26,3,Laboratory Technician,104480,2.0,13,3,5,1,3.0,4.0,3.0,3,3
122,55,Travel_Rarely,Sales,26,3,Laboratory Technician,104480,2.0,13,3,5,1,3.0,4.0,3.0,3,3
