EmployeeID,Age,BusinessTravel,Department,DistanceFromHome,Education,JobRole,MonthlyIncome,NumCompaniesWorked,PercentSalaryHike,TrainingTimesLastYear,YearsAtCompany,YearsSinceLastPromotion,EnvironmentSatisfaction,JobSatisfaction,WorkLifeBalance,JobInvolvement,PerformanceRating,retiro_2016,renuncia2016
29,44,Travel_Frequently,Research & Development,1,2,Research Scientist,103330,3.0,14,2,1,0,4.0,3.0,1.0,2,3,Resignation,1
30,38,Travel_Rarely,Sales,2,3,Manager,44480,9.0,12,3,2,1,4.0,4.0,3.0,2,3,,0
31,26,Travel_Rarely,Research & Development,4,3,Research Scientist,68540,2.0,11,5,3,0,1.0,2.0,3.0,2,3,Resignation,1
32,28,Travel_Rarely,Research & Development,7,3,Human Resources,96370,1.0,13,6,5,0,4.0,4.0,3.0,2,3,,0
33,49,Travel_Frequently,Research & Development,1,1,Research Scientist,35910,9.0,13,2,3,1,3.0,1.0,3.0,3,3,,0
34,36,Travel_Rarely,Sales,5,3,Sales Executive,54050,4.0,14,2,8,7,3.0,2.0,3.0,3,3,,0
35,31,Travel_Frequently,Research & Development,9,4,Sales Executive,46840,1.0,16,4,2,2,4.0,2.0,2.0,3,3,,0
36,26,Travel_Rarely,Research & Development,8,3,Manager,157870,1.0,12,5,8,7,4.0,4.0,3.0,3,3,Resignation,1
37,37,Travel_Frequently,Sales,9,1,Laboratory Technician,15140,1.0,14,3,4,1,2.0,4.0,2.0,3,3,,0
38,42,Travel_Frequently,Sales,2,2,Research Director,29560,5.0,13,2,20,4,3.0,2.0,4.0,3,3,,0
39,18,Travel_Rarely,Research & Development,1,4,Sales Executive,23350,1.0,14,3,0,0,3.0,3.0,3.0,2,3,Resignation,1
40,35,Travel_Rarely,Sales,20,2,Laboratory Technician,51540,0.0,19,2,11,6,3.0,2.0,2.0,2,3,,0
42,51,Travel_Rarely,Research & Development,2,3,Laboratory Technician,56750,5.0,13,2,4,1,4.0,2.0,3.0,2,3,,0
43,41,Travel_Rarely,Research & Development,29,1,Laboratory Technician,23790,1.0,12,6,22,0,4.0,2.0,3.0,3,3,,0
44,18,Travel_Rarely,Sales,7,3,Research Scientist,38120,1.0,15,3,0,0,4.0,3.0,3.0,3,3,,0
45,28,Travel_Rarely,Research & Development,9,3,Sales Representative,46480,0.0,23,2,8,0,2.0,1.0,3.0,2,4,,0
46,31,Travel_Rarely,Research & Development,8,1,Manufacturing Director,29360,4.0,12,2,8,7,2.0,4.0,2.0,3,3,,0
47,39,Travel_Rarely,Sales,5,4,Human Resources,21050,0.0,20,3,18,3,3.0,4.0,2.0,3,4,,0
48,36,Non-Travel,Research & Development,5,4,Sales Executive,85780,7.0,21,4,9,0,2.0,2.0,3.0,3,4,,0
49,32,Travel_Rarely,Sales,2,3,Laboratory Technician,27060,1.0,21,4,13,4,4.0,3.0,2.0,3,4,,0
50,38,Travel_Rarely,Research & Development,5,2,Research Scientist,63840,3.0,19,4,10,0,1.0,2.0,3.0,2,3,,0
51,58,Non-Travel,Research & Development,2,3,Manufacturing Director,39680,2.0,13,3,5,1,4.0,3.0,3.0,2,3,,0
52,31,Travel_Rarely,Research & Development,20,1,Research Scientist,99070,0.0,13,3,5,0,3.0,4.0,3.0,2,3,,0
53,31,Travel_Rarely,Sales,7,4,Sales Executive,132250,3.0,21,2,2,1,1.0,1.0,3.0,3,4,,0
54,45,Travel_Frequently,Research & Development,3,1,Sales Executive,35400,1.0,13,6,24,9,1.0,1.0,3.0,3,3,,0
55,31,Travel_Rarely,Sales,16,4,Research Scientist,28040,0.0,19,0,2,2,3.0,4.0,1.0,3,3,,0
56,33,Travel_Frequently,Research & Development,9,3,Research Director,193920,6.0,12,3,10,8,4.0,2.0,3.0,3,3,,0
57,39,Travel_Rarely,Sales,1,4,Sales Executive,196650,1.0,22,6,21,11,3.0,1.0,3.0,3,4,,0
58,43,Travel_Frequently,Research & Development,7,4,Research Scientist,24390,0.0,15,2,8,1,3.0,4.0,3.0,3,3,,0
59,49,Travel_Rarely,Research & Development,1,3,Manufacturing Director,73140,7.0,22,2,7,0,3.0,3.0,3.0,3,4,,0
60,52,Travel_Rarely,Research & Development,7,1,Research Scientist,47740,2.0,18,2,8,7,3.0,2.0,2.0,3,3,Resignation,1
61,27,Travel_Rarely,Research & Development,15,4,Research Scientist,39020,1.0,22,2,4,1,3.0,2.0,2.0,3,4,,0
62,32,Travel_Rarely,Research & Development,1,3,Research Scientist,26620,1.0,11,6,13,11,3.0,2.0,3.0,4,3,,0
63,27,Travel_Rarely,Research & Development,13,2,Research Director,28560,1.0,12,5,5,0,4.0,3.0,3.0,4,3,,0
64,31,Travel_Rarely,Sales,24,3,Healthcare Representative,10810,4.0,11,4,7,1,4.0,4.0,3.0,4,3,,0
65,32,Travel_Rarely,Research & Development,7,3,Healthcare Representative,24720,7.0,13,2,7,0,1.0,4.0,2.0,3,3,,0
66,28,Travel_Rarely,Research & Development,9,4,Sales Executive,56730,5.0,14,4,3,2,1.0,4.0,2.0,2,3,Resignation,1
67,30,Travel_Rarely,Research & Development,13,3,Research Director,41970,1.0,13,3,10,1,4.0,4.0,3.0,3,3,,0
68,31,Travel_Frequently,Research & Development,2,1,Manager,97130,1.0,17,5,10,8,3.0,3.0,3.0,2,3,,0
69,39,Travel_Frequently,Research & Development,19,4,Research Scientist,20620,1.0,13,4,21,13,3.0,4.0,3.0,3,3,,0
70,39,Travel_Rarely,Research & Development,1,1,Laboratory Technician,42840,4.0,17,0,1,0,4.0,3.0,2.0,3,3,Fired,0
71,33,Travel_Frequently,Sales,4,2,Research Scientist,47880,3.0,11,0,7,0,2.0,4.0,2.0,3,3,,0
72,47,Travel_Rarely,Research & Development,4,3,Healthcare Representative,59060,4.0,23,4,3,1,4.0,3.0,3.0,4,4,,0
73,43,Travel_Frequently,Research & Development,14,3,Research Director,38860,1.0,17,2,9,0,3.0,3.0,4.0,3,3,,0
74,27,Non-Travel,Research & Development,2,3,Research Director,168230,0.0,17,3,5,1,3.0,2.0,3.0,3,3,,0
75,54,Travel_Frequently,Research & Development,1,4,Research Scientist,29330,3.0,12,2,4,0,4.0,3.0,2.0,3,3,,0
76,43,Travel_Rarely,Research & Development,7,2,Manager,65000,8.0,23,3,1,0,3.0,1.0,2.0,3,4,,0
77,45,Travel_Rarely,Sales,3,1,Sales Executive,171740,9.0,14,6,10,9,4.0,4.0,3.0,3,3,,0
78,40,Travel_Rarely,Research & Development,2,4,Research Scientist,50330,2.0,14,6,4,0,2.0,4.0,2.0,3,3,,0
79,29,Travel_Rarely,Research & Development,29,3,Research Scientist,23070,1.0,13,0,7,0,2.0,1.0,2.0,3,3,Resignation,1
80,29,Travel_Rarely,Human Resources,8,3,Sales Representative,25870,0.0,22,3,3,2,2.0,4.0,3.0,3,4,,0
81,30,Travel_Rarely,Research & Development,10,3,Research Scientist,55070,1.0,12,2,10,1,4.0,3.0,3.0,2,3,,0
82,27,Travel_Rarely,Research & Development,11,2,Manager,43930,1.0,18,2,8,0,2.0,2.0,3.0,2,3,,0
83,37,Travel_Rarely,Sales,1,4,Healthcare Representative,133480,7.0,14,4,6,0,4.0,4.0,2.0,3,3,,0
84,38,Travel_Rarely,Research & Development,28,4,Laboratory Technician,65830,0.0,12,1,11,2,3.0,4.0,3.0,3,3,,0
86,29,Travel_Rarely,Research & Development,3,4,Sales Executive,39780,1.0,11,0,7,1,4.0,2.0,3.0,3,3,,0
87,35,Travel_Rarely,Sales,16,2,Manager,25440,0.0,13,3,16,0,3.0,2.0,3.0,4,3,,0
88,23,Travel_Rarely,Research & Development,20,4,Manufacturing Director,53990,1.0,23,2,4,0,3.0,4.0,2.0,2,4,,0
89,41,Travel_Rarely,Research & Development,9,2,Laboratory Technician,54870,6.0,19,0,5,1,4.0,2.0,3.0,3,3,,0
90,47,Travel_Frequently,Sales,1,3,Laboratory Technician,68340,3.0,16,2,0,0,2.0,3.0,3.0,4,3,,0
91,42,Travel_Rarely,Research & Development,3,4,Manager,10910,2.0,22,0,1,0,1.0,4.0,3.0,1,4,,0
92,29,Non-Travel,Sales,22,4,Human Resources,57360,1.0,22,1,4,0,4.0,3.0,2.0,2,4,,0
93,42,Travel_Rarely,Sales,7,4,Research Scientist,22260,0.0,12,3,3,1,3.0,3.0,3.0,2,3,,0
94,32,Travel_Rarely,Research & Development,2,3,Research Scientist,57470,1.0,13,0,8,0,3.0,2.0,3.0,3,3,,0
95,48,Travel_Rarely,Sales,13,4,Sales Executive,98540,3.0,16,2,0,0,1.0,3.0,1.0,2,3,,0
96,37,Travel_Rarely,Research & Development,8,5,Manufacturing Director,54670,4.0,12,2,7,6,3.0,1.0,3.0,3,3,,0
97,30,Non-Travel,Sales,25,4,Healthcare Representative,53800,7.0,21,0,2,2,4.0,3.0,4.0,3,4,,0
98,26,Travel_Rarely,Sales,28,3,Laboratory Technician,51510,1.0,15,3,8,7,3.0,3.0,3.0,3,3,,0
99,42,Travel_Rarely,Sales,2,2,Laboratory Technician,21330,3.0,13,2,1,0,1.0,4.0,3.0,3,3,,0
100,21,Travel_Frequently,Research & Development,9,3,Manufacturing Director,178750,1.0,12,5,3,1,1.0,2.0,3.0,2,3,Resignation,1
101,36,Non-Travel,Human Resources,28,3,Laboratory Technician,24320,4.0,22,4,1,0,4.0,4.0,3.0,1,4,,0
102,36,Travel_Frequently,Research & Development,6,3,Research Scientist,47710,4.0,13,2,13,1,1.0,4.0,3.0,3,3,,0
103,57,Travel_Rarely,Research & Development,21,4,Research Scientist,191610,2.0,18,2,3,1,4.0,3.0,3.0,1,3,,0
104,40,Travel_Rarely,Research & Development,8,3,Sales Executive,50870,3.0,14,3,7,1,4.0,3.0,3.0,3,3,,0
105,21,Non-Travel,Research & Development,1,5,Manager,28630,1.0,14,2,3,2,1.0,4.0,2.0,1,3,,0
106,33,Travel_Rarely,Human Resources,28,2,Manager,55610,1.0,21,3,1,0,4.0,3.0,3.0,1,4,Resignation,1
107,37,Travel_Rarely,Research & Development,5,3,Research Scientist,21440,6.0,19,3,5,0,3.0,1.0,3.0,4,3,,0
108,46,Non-Travel,Sales,2,4,Laboratory Technician,30650,2.0,11,3,1,0,3.0,3.0,4.0,3,3,,0
109,41,Travel_Frequently,Research & Development,16,1,Research Scientist,28100,1.0,11,3,8,7,1.0,2.0,3.0,4,3,Resignation,1
110,50,Travel_Rarely,Research & Development,9,3,Laboratory Technician,98880,6.0,15,2,4,1,4.0,4.0,3.0,3,3,,0
111,40,Travel_Rarely,Research & Development,8,3,Healthcare Representative,86280,2.0,20,2,6,1,3.0,3.0,3.0,2,4,Resignation,1
113,21,Travel_Rarely,Human Resources,10,2,Laboratory Technician,53730,1.0,12,2,1,0,3.0,2.0,3.0,3,3,Resignation,1
114,29,Travel_Rarely,Research & Development,1,3,Research Director,66670,9.0,12,6,3,1,4.0,4.0,3.0,4,3,,0
115,35,Travel_Rarely,Research & Development,29,3,Sales Executive,50030,9.0,15,2,1,0,3.0,2.0,3.0,3,3,,0
117,28,Travel_Rarely,Research & Development,2,2,Manager,28580,1.0,12,2,7,0,2.0,4.0,3.0,2,3,,0
118,49,Travel_Rarely,Sales,2,3,Manufacturing Director,52040,8.0,14,3,5,0,2.0,3.0,3.0,3,3,,0
119,51,Travel_Rarely,Research & Development,1,2,Sales Executive,41050,4.0,22,2,7,0,3.0,4.0,2.0,3,4,,0
120,36,Travel_Rarely,Sales,15,2,Sales Executive,96790,4.0,12,1,2,2,4.0,3.0,3.0,3,3,,0
121,34,Non-Travel,Research & Development,7,3,Sales Representative,56170,8.0,25,3,5,0,1.0,4.0,2.0,3,4,Fired,0
122,55,Travel_Rarely,Sales,26,3,Laboratory Technician,104480,2.0,13,3,5,1,3.0,4.0,3.0,3,3,,0
123,24,Travel_Rarely,Research & Development,1,3,Manager,28970,1.0,18,4,5,0,4.0,3.0,4.0,3,3,,0
124,30,Travel_Rarely,Research & Development,3,3,Manager,59680,1.0,13,3,1,0,3.0,2.0,3.0,3,3,,0
126,22,Travel_Rarely,Research & Development,16,5,Research Scientist,29910,1.0,19,3,2,1,1.0,2.0,3.0,2,3,,0
127,36,Travel_Rarely,Research & Development,1,3,Healthcare Representative,196360,1.0,12,3,10,9,2.0,3.0,3.0,3,3,,0
128,30,Travel_Frequently,Sales,3,2,Research Scientist,11290,9.0,19,2,1,0,3.0,4.0,3.0,2,3,Resignation,1
129,37,Travel_Rarely,Research & Development,10,1,Sales Executive,133410,1.0,14,3,18,12,4.0,1.0,2.0,3,3,,0
130,40,Travel_Rarely,Research & Development,6,2,Research Scientist,43320,7.0,14,3,5,1,4.0,2.0,3.0,2,3,,0
131,42,Travel_Rarely,Research & Development,2,3,Manager,110310,3.0,12,2,5,1,2.0,1.0,3.0,2,3,,0
132,37,Travel_Rarely,Sales,9,1,Sales Executive,44400,2.0,11,3,1,0,3.0,2.0,2.0,2,3,,0
133,43,Travel_Rarely,Sales,10,2,Sales Executive,46170,1.0,11,2,25,3,1.0,2.0,3.0,3,3,,0
134,40,Travel_Rarely,Sales,6,2,Laboratory Technician,26470,6.0,13,2,1,0,2.0,3.0,3.0,2,3,,0
135,54,Travel_Rarely,Human Resources,9,3,Manufacturing Director,63230,4.0,23,2,4,1,1.0,1.0,2.0,2,4,,0
136,34,Non-Travel,Research & Development,28,3,Laboratory Technician,56770,9.0,20,3,3,1,3.0,3.0,3.0,3,4,,0
137,31,Travel_Rarely,Research & Development,10,4,Sales Executive,21870,1.0,15,2,13,3,2.0,1.0,1.0,2,3,,0
138,43,Travel_Frequently,Sales,14,3,Manufacturing Director,37480,7.0,14,3,3,1,4.0,4.0,3.0,2,3,,0
139,43,Travel_Rarely,Sales,27,4,Sales Representative,39770,4.0,18,3,5,0,3.0,3.0,3.0,3,3,,0
140,25,Travel_Rarely,Human Resources,7,2,Manufacturing Director,86330,1.0,19,2,5,1,2.0,4.0,3.0,4,3,,0
141,37,Non-Travel,Research & Development,1,3,Laboratory Technician,20080,3.0,22,5,13,10,2.0,3.0,3.0,2,4,,0
142,31,Travel_Rarely,Research & Development,24,1,Laboratory Technician,44400,1.0,13,2,4,3,4.0,1.0,3.0,3,3,,0
143,39,Travel_Frequently,Research & Development,26,4,Sales Executive,30670,1.0,20,5,21,1,2.0,3.0,3.0,1,4,,0
144,56,Travel_Frequently,Research & Development,20,4,Sales Executive,53210,9.0,14,1,7,7,3.0,1.0,2.0,3,3,,0
145,30,Travel_Rarely,Sales,5,4,Manufacturing Director,54100,0.0,17,2,5,4,2.0,3.0,3.0,3,3,,0
146,41,Travel_Rarely,Research & Development,7,3,Research Scientist,27820,1.0,14,2,10,0,2.0,1.0,3.0,2,3,,0
147,28,Travel_Rarely,Research & Development,7,3,Healthcare Representative,119570,1.0,13,2,10,1,3.0,1.0,3.0,2,3,,0
148,25,Travel_Rarely,Research & Development,5,2,Laboratory Technician,26600,5.0,13,3,2,0,1.0,1.0,3.0,3,3,Resignation,1
149,52,Travel_Rarely,Research & Development,26,2,Sales Representative,33750,2.0,21,2,5,0,4.0,3.0,3.0,2,4,,0
150,45,Travel_Rarely,Research & Development,2,3,Sales Executive,50980,3.0,14,4,2,0,1.0,4.0,2.0,3,3,,0
151,52,Travel_Rarely,Research & Development,12,3,Research Scientist,48780,2.0,11,3,5,1,4.0,4.0,1.0,3,3,,0
152,42,Travel_Frequently,Sales,10,3,Healthcare Representative,28370,2.0,13,0,5,0,1.0,3.0,3.0,2,3,,0
153,30,Travel_Rarely,Sales,25,3,Sales Executive,24060,2.0,20,5,5,0,3.0,4.0,3.0,3,4,,0
154,60,Travel_Rarely,Research & Development,10,3,Manufacturing Director,22690,5.0,18,4,29,11,1.0,1.0,1.0,3,3,,0
155,46,Travel_Rarely,Sales,19,4,Sales Executive,41080,2.0,14,5,10,0,3.0,3.0,2.0,2,3,,0
156,42,Travel_Frequently,Research & Development,18,4,Sales Executive,132060,0.0,13,2,6,0,4.0,4.0,4.0,3,3,,0
157,24,Travel_Rarely,Research & Development,27,2,Research Scientist,104220,1.0,17,0,5,1,1.0,2.0,3.0,2,3,Resignation,1
158,34,Travel_Frequently,Research & Development,5,3,Research Scientist,137440,0.0,20,3,2,1,4.0,3.0,2.0,3,4,Resignation,1
159,38,Travel_Frequently,Sales,3,3,Sales Executive,49070,1.0,11,3,1,0,4.0,4.0,3.0,3,3,,0
160,40,Travel_Rarely,Sales,26,4,Sales Executive,34820,0.0,18,2,20,1,3.0,3.0,3.0,2,3,,0
161,26,Travel_Rarely,Research & Development,3,2,Healthcare Representative,24360,1.0,24,2,3,0,1.0,4.0,1.0,4,4,,0
162,30,Non-Travel,Research & Development,15,3,Sales Executive,23800,4.0,18,2,5,1,3.0,4.0,1.0,2,3,,0
163,29,Travel_Rarely,Research & Development,8,3,Manufacturing Director,194310,1.0,11,3,10,0,2.0,3.0,3.0,3,3,,0
164,29,Travel_Rarely,Research & Development,19,4,Research Scientist,17900,5.0,16,4,2,1,3.0,2.0,4.0,2,3,Resignation,1
165,19,Travel_Rarely,Research & Development,4,3,Sales Executive,76440,1.0,15,2,1,0,1.0,4.0,4.0,3,3,Fired,0
166,30,Non-Travel,Research & Development,2,4,Research Scientist,51310,0.0,15,2,9,7,3.0,1.0,3.0,3,3,,0
167,57,Travel_Rarely,Research & Development,2,2,Research Scientist,63060,3.0,12,3,1,0,1.0,4.0,2.0,3,3,,0
168,50,Travel_Rarely,Sales,10,4,Manager,47870,0.0,12,3,27,15,2.0,3.0,3.0,3,3,,0
169,30,Non-Travel,Sales,10,2,Laboratory Technician,188800,0.0,22,3,11,6,3.0,4.0,2.0,3,4,,0
170,60,Travel_Frequently,Research & Development,16,3,Laboratory Technician,23390,4.0,20,4,18,13,3.0,1.0,4.0,3,4,,0
171,47,Travel_Rarely,Research & Development,1,3,Manufacturing Director,135700,5.0,16,2,5,0,1.0,4.0,3.0,2,3,,0
172,46,Travel_Rarely,Sales,4,1,Laboratory Technician,67120,6.0,21,3,3,0,1.0,3.0,1.0,2,4,,0
173,35,Travel_Rarely,Research & Development,15,2,Laboratory Technician,54060,0.0,12,2,5,4,4.0,3.0,3.0,3,3,,0
174,54,Travel_Rarely,Research & Development,2,4,Human Resources,89380,7.0,11,2,1,0,3.0,3.0,3.0,3,3,,0
175,34,Travel_Rarely,Sales,8,2,Laboratory Technician,24390,3.0,11,2,7,5,4.0,3.0,3.0,4,3,,0
176,46,Travel_Rarely,Research & Development,2,3,Healthcare Representative,88370,2.0,18,3,3,1,3.0,4.0,3.0,2,3,,0
177,31,Travel_Rarely,Research & Development,7,3,Research Director,53430,1.0,14,3,13,0,3.0,2.0,4.0,3,3,,0
178,33,Travel_Rarely,Research & Development,10,3,Research Director,67280,7.0,22,2,7,7,2.0,3.0,4.0,2,4,Resignation,1
179,33,Travel_Rarely,Sales,5,4,Research Director,66520,7.0,25,5,4,1,1.0,4.0,3.0,3,4,Resignation,1
180,30,Travel_Rarely,Research & Development,2,3,Sales Executive,48500,0.0,12,4,3,1,4.0,2.0,3.0,3,3,,0
181,35,Travel_Rarely,Research & Development,12,2,Sales Representative,28090,4.0,23,2,8,0,4.0,3.0,3.0,1,4,,0
182,31,Travel_Frequently,Research & Development,22,2,Sales Executive,56890,3.0,15,2,1,0,1.0,3.0,3.0,2,3,Resignation,1
183,34,Travel_Frequently,Sales,17,1,Research Director,20010,9.0,22,5,3,0,2.0,1.0,3.0,4,4,Fired,0
184,42,Travel_Frequently,Research & Development,2,4,Research Scientist,29770,4.0,15,3,2,2,2.0,3.0,3.0,2,3,,0
185,36,Non-Travel,Research & Development,3,4,Research Scientist,40250,1.0,11,3,10,9,2.0,4.0,2.0,3,3,,0
186,22,Travel_Frequently,Research & Development,7,3,Laboratory Technician,37850,5.0,13,2,2,1,3.0,3.0,3.0,3,3,Resignation,1
187,48,Travel_Rarely,Research & Development,6,3,Laboratory Technician,108540,2.0,14,6,9,6,2.0,4.0,3.0,3,3,,0
188,55,Travel_Rarely,Research & Development,1,3,Sales Executive,120310,3.0,11,5,10,7,1.0,2.0,3.0,3,3,,0
189,41,Non-Travel,Research & Development,3,2,Research Scientist,99360,7.0,17,2,14,1,4.0,4.0,3.0,2,3,,0
190,35,Travel_Rarely,Research & Development,22,3,Sales Representative,29660,9.0,18,2,11,6,2.0,3.0,3.0,2,3,,0
191,40,Travel_Rarely,Research & Development,15,3,Laboratory Technician,25710,7.0,14,1,20,5,2.0,3.0,3.0,3,3,,0
192,39,Travel_Frequently,Research & Development,12,1,Research Scientist,99910,1.0,16,3,8,0,3.0,3.0,3.0,3,3,,0
193,31,Travel_Rarely,Research & Development,1,4,Research Director,61420,4.0,13,2,6,0,2.0,4.0,4.0,2,3,,0
194,42,Travel_Rarely,Research & Development,5,3,Sales Executive,53900,1.0,14,3,10,5,4.0,1.0,2.0,3,3,,0
195,45,Travel_Rarely,Research & Development,2,1,Sales Executive,44040,0.0,23,2,8,3,4.0,2.0,4.0,3,4,,0
197,29,Travel_Rarely,Research & Development,5,3,Research Scientist,51300,4.0,11,3,3,1,4.0,4.0,4.0,2,3,,0
198,33,Travel_Rarely,Research & Development,16,3,Laboratory Technician,20900,4.0,16,2,6,0,1.0,3.0,3.0,3,3,,0
199,31,Travel_Rarely,Research & Development,2,4,Sales Executive,29090,9.0,14,2,5,0,3.0,4.0,2.0,3,3,,0
200,18,Travel_Frequently,Research & Development,2,3,Sales Executive,34680,1.0,18,4,0,0,2.0,2.0,3.0,4,3,Resignation,1
201,40,Non-Travel,Research & Development,1,4,Laboratory Technician,30680,3.0,19,3,1,0,3.0,1.0,3.0,2,3,,0
202,41,Non-Travel,Research & Development,23,3,Manufacturing Director,26700,2.0,15,2,8,0,1.0,3.0,3.0,2,3,,0
203,26,Travel_Rarely,Research & Development,9,4,Healthcare Representative,26930,5.0,17,3,0,0,1.0,3.0,3.0,2,3,,0
204,35,Travel_Rarely,Research & Development,16,4,Human Resources,95260,1.0,15,2,5,0,1.0,3.0,3.0,2,3,,0
205,34,Travel_Rarely,Research & Development,26,3,Laboratory Technician,52370,1.0,19,3,10,5,4.0,4.0,3.0,2,3,,0
206,26,Travel_Rarely,Sales,1,3,Manufacturing Director,24260,1.0,22,3,1,0,3.0,4.0,1.0,1,4,Resignation,1
207,37,Travel_Rarely,Research & Development,8,1,Sales Executive,41930,4.0,16,5,6,1,2.0,4.0,4.0,3,3,,0
208,46,Travel_Frequently,Research & Development,4,1,Human Resources,29110,5.0,13,3,2,1,1.0,3.0,2.0,3,3,,0
209,41,Travel_Rarely,Research & Development,24,1,Research Director,26610,7.0,14,2,18,11,2.0,1.0,3.0,3,3,,0
210,37,Non-Travel,Research & Development,7,2,Sales Executive,20280,1.0,16,3,9,7,1.0,2.0,3.0,3,3,,0
212,32,Non-Travel,Research & Development,7,2,Research Director,32980,8.0,22,4,4,1,4.0,3.0,3.0,2,4,Resignation,1
213,24,Travel_Frequently,Sales,22,3,Healthcare Representative,29350,0.0,14,5,2,2,4.0,4.0,3.0,2,3,,0
214,38,Travel_Rarely,Research & Development,5,3,Research Scientist,154270,3.0,16,2,1,0,3.0,3.0,3.0,3,3,,0
215,37,Travel_Rarely,Research & Development,1,4,Research Scientist,39440,6.0,11,3,6,4,2.0,2.0,2.0,3,3,,0
216,49,Travel_Rarely,Sales,21,1,Sales Executive,40110,1.0,18,2,31,0,4.0,3.0,3.0,1,3,,0
217,24,Travel_Rarely,Sales,1,3,Sales Executive,34070,1.0,15,2,6,1,2.0,4.0,3.0,2,3,,0
218,26,Travel_Rarely,Research & Development,19,4,Sales Executive,119940,1.0,14,6,5,1,1.0,2.0,4.0,3,3,,0
219,24,Travel_Rarely,Sales,7,3,Laboratory Technician,12320,1.0,12,4,1,0,4.0,2.0,3.0,1,3,,0
220,50,Travel_Frequently,Sales,2,2,Sales Executive,29600,1.0,14,2,32,10,1.0,2.0,3.0,3,3,,0
221,25,Travel_Rarely,Research & Development,2,3,Research Scientist,190940,1.0,16,3,7,0,2.0,3.0,3.0,2,3,,0
