EmployeeID,Age,BusinessTravel,Department,EnvironmentSatisfaction,JobSatisfaction,WorkLifeBalance,JobInvolvement,PerformanceRating
18,37,Non-Travel,Research & Development,1.0,4.0,3.0,3,3
18,37,Non-Travel,Research & Development,1.0,4.0,3.0,3,3
19,35,Travel_Rarely,Sales,2.0,2.0,2.0,2,3
19,35,Travel_Rarely,Sales,2.0,2.0,2.0,2,3
20,38,Travel_Rarely,Research & Development,1.0,1.0,3.0,3,3
20,38,Travel_Rarely,Research & Development,1.0,1.0,3.0,3,3
21,26,Travel_Frequently,Research & Development,3.0,2.0,1.0,3,3
21,26,Travel_Frequently,Research & Development,3.0,2.0,1.0,3,3
22,50,Travel_Rarely,Sales,1.0,2.0,2.0,2,4
22,50,Travel_Rarely,Sales,1.0,2.0,2.0,2,4
23,53,Travel_Rarely,Research & Development,3.0,3.0,2.0,3,3
23,53,Travel_Rarely,Research & Development,3.0,3.0,2.0,3,3
24,42,Travel_Rarely,Research & Development,2.0,3.0,3.0,1,3
24,42,Travel_Rarely,Research & Development,2.0,3.0,3.0,1,3
25,29,Travel_Frequently,Research & Development,2.0,4.0,2.0,3,3
25,29,Travel_Frequently,Research & Development,2.0,4.0,2.0,3,3
26,55,Travel_Rarely,Research & Development,2.0,4.0,3.0,3,3
26,55,Travel_Rarely,Research & Development,2.0,4.0,3.0,3,3
27,26,Travel_Frequently,Research & Development,1.0,1.0,3.0,3,4
27,26,Travel_Frequently,Research & Development,1.0,1.0,3.0,3,4
28,37,Travel_Rarely,Sales,4.0,4.0,3.0,3,3
28,37,Travel_Rarely,Sales,4.0,4.0,3.0,3,3
4439,44,Travel_Frequently,Research & Development,4.0,3.0,1.0,2,3
30,38,Travel_Rarely,Sales,4.0,4.0,3.0,2,3
30,38,Travel_Rarely,Sales,4.0,4.0,3.0,2,3
4441,26,Travel_Rarely,Research & Development,1.0,2.0,3.0,2,3
32,28,Travel_Rarely,Research & Development,4.0,4.0,3.0,2,3
32,28,Travel_Rarely,Research & Development,4.0,4.0,3.0,2,3
33,49,Travel_Frequently,Research & Development,3.0,1.0,3.0,3,3
33,49,Travel_Frequently,Research & Development,3.0,1.0,3.0,3,3
34,36,Travel_Rarely,Sales,3.0,2.0,3.0,3,3
34,36,Travel_Rarely,Sales,3.0,2.0,3.0,3,3
35,31,Travel_Frequently,Research & Development,4.0,2.0,2.0,3,3
35,31,Travel_Frequently,Research & Development,4.0,2.0,2.0,3,3
4446,26,Travel_Rarely,Research & Development,4.0,4.0,3.0,3,3
37,37,Travel_Frequently,Sales,2.0,4.0,2.0,3,3
37,37,Travel_Frequently,Sales,2.0,4.0,2.0,3,3
38,42,Travel_Frequently,Sales,3.0,2.0,4.0,3,3
38,42,Travel_Frequently,Sales,3.0,2.0,4.0,3,3
4449,18,Travel_Rarely,Research & Development,3.0,3.0,3.0,2,3
40,35,Travel_Rarely,Sales,3.0,2.0,2.0,2,3
40,35,Travel_Rarely,Sales,3.0,2.0,2.0,2,3
41,36,Travel_Frequently,Research & Development,3.0,,3.0,2,3
41,36,Travel_Frequently,Research & Development,3.0,,3.0,2,3
42,51,Travel_Rarely,Research & Development,4.0,2.0,3.0,2,3
42,51,Travel_Rarely,Research & Development,4.0,2.0,3.0,2,3
43,41,Travel_Rarely,Research & Development,4.0,2.0,3.0,3,3
43,41,Travel_Rarely,Research & Development,4.0,2.0,3.0,3,3
44,18,Travel_Rarely,Sales,4.0,3.0,3.0,3,3
44,18,Travel_Rarely,Sales,4.0,3.0,3.0,3,3
45,28,Travel_Rarely,Research & Development,2.0,1.0,3.0,2,4
45,28,Travel_Rarely,Research & Development,2.0,1.0,3.0,2,4
46,31,Travel_Rarely,Research & Development,2.0,4.0,2.0,3,3
46,31,Travel_Rarely,Research & Development,2.0,4.0,2.0,3,3
47,39,Travel_Rarely,Sales,3.0,4.0,2.0,3,4
47,39,Travel_Rarely,Sales,3.0,4.0,2.0,3,4
48,36,Non-Travel,Research & Development,2.0,2.0,3.0,3,4
48,36,Non-Travel,Research & Development,2.0,2.0,3.0,3,4
49,32,Travel_Rarely,Sales,4.0,3.0,2.0,3,4
49,32,Travel_Rarely,Sales,4.0,3.0,2.0,3,4
50,38,Travel_Rarely,Research & Development,1.0,2.0,3.0,2,3
50,38,Travel_Rarely,Research & Development,1.0,2.0,3.0,2,3
51,58,Non-Travel,Research & Development,4.0,3.0,3.0,2,3
51,58,Non-Travel,Research & Development,4.0,3.0,3.0,2,3
52,31,Travel_Rarely,Research & Development,3.0,4.0,3.0,2,3
52,31,Travel_Rarely,Research & Development,3.0,4.0,3.0,2,3
53,31,Travel_Rarely,Sales,1.0,1.0,3.0,3,4
53,31,Travel_Rarely,Sales,1.0,1.0,3.0,3,4
54,45,Travel_Frequently,Research & Development,1.0,1.0,3.0,3,3
54,45,Travel_Frequently,Research & Development,1.0,1.0,3.0,3,3
55,31,Travel_Rarely,Sales,3.0,4.0,1.0,3,3
55,31,Travel_Rarely,Sales,3.0,4.0,1.0,3,3
56,33,Travel_Frequently,Research & Development,4.0,2.0,3.0,3,3
56,33,Travel_Frequently,Research & Development,4.0,2.0,3.0,3,3
57,39,Travel_Rarely,Sales,3.0,1.0,3.0,3,4
57,39,Travel_Rarely,Sales,3.0,1.0,3.0,3,4
58,43,Travel_Frequently,Research & Development,3.0,4.0,3.0,3,3
58,43,Travel_Frequently,Research & Development,3.0,4.0,3.0,3,3
59,49,Travel_Rarely,Research & Development,3.0,3.0,3.0,3,4
59,49,Travel_Rarely,Research & Development,3.0,3.0,3.0,3,4
4470,52,Travel_Rarely,Research & Development,3.0,2.0,2.0,3,3
61,27,Travel_Rarely,Research & Development,3.0,2.0,2.0,3,4
61,27,Travel_Rarely,Research & Development,3.0,2.0,2.0,3,4
62,32,Travel_Rarely,Research & Development,3.0,2.0,3.0,4,3
62,32,Travel_Rarely,Research & Development,3.0,2.0,3.0,4,3
63,27,Travel_Rarely,Research & Development,4.0,3.0,3.0,4,3
63,27,Travel_Rarely,Research & Development,4.0,3.0,3.0,4,3
64,31,Travel_Rarely,Sales,4.0,4.0,3.0,4,3
64,31,Travel_Rarely,Sales,4.0,4.0,3.0,4,3
65,32,Travel_Rarely,Research & Development,1.0,4.0,2.0,3,3
65,32,Travel_Rarely,Research & Development,1.0,4.0,2.0,3,3
4476,28,Travel_Rarely,Research & Development,1.0,4.0,2.0,2,3
67,30,Travel_Rarely,Research & Development,4.0,4.0,3.0,3,3
67,30,Travel_Rarely,Research & Development,4.0,4.0,3.0,3,3
68,31,Travel_Frequently,Research & Development,3.0,3.0,3.0,2,3
68,31,Travel_Frequently,Research & Development,3.0,3.0,3.0,2,3
69,39,Travel_Frequently,Research & Development,3.0,4.0,3.0,3,3
69,39,Travel_Frequently,Research & Development,3.0,4.0,3.0,3,3
4480,39,Travel_Rarely,Research & Development,4.0,3.0,2.0,3,3
71,33,Travel_Frequently,Sales,2.0,4.0,2.0,3,3
71,33,Travel_Frequently,Sales,2.0,4.0,2.0,3,3
72,47,Travel_Rarely,Research & Development,4.0,3.0,3.0,4,4
72,47,Travel_Rarely,Research & Development,4.0,3.0,3.0,4,4
73,43,Travel_Frequently,Research & Development,3.0,3.0,4.0,3,3
73,43,Travel_Frequently,Research & Development,3.0,3.0,4.0,3,3
74,27,Non-Travel,Research & Development,3.0,2.0,3.0,3,3
74,27,Non-Travel,Research & Development,3.0,2.0,3.0,3,3
75,54,Travel_Frequently,Research & Development,4.0,3.0,2.0,3,3
75,54,Travel_Frequently,Research & Development,4.0,3.0,2.0,3,3
76,43,Travel_Rarely,Research & Development,3.0,1.0,2.0,3,4
76,43,Travel_Rarely,Research & Development,3.0,1.0,2.0,3,4
77,45,Travel_Rarely,Sales,4.0,4.0,3.0,3,3
77,45,Travel_Rarely,Sales,4.0,4.0,3.0,3,3
78,40,Travel_Rarely,Research & Development,2.0,4.0,2.0,3,3
78,40,Travel_Rarely,Research & Development,2.0,4.0,2.0,3,3
4489,29,Travel_Rarely,Research & Development,2.0,1.0,2.0,3,3
80,29,Travel_Rarely,Human Resources,2.0,4.0,3.0,3,4
80,29,Travel_Rarely,Human Resources,2.0,4.0,3.0,3,4
81,30,Travel_Rarely,Research & Development,4.0,3.0,3.0,2,3
81,30,Travel_Rarely,Research & Development,4.0,3.0,3.0,2,3
82,27,Travel_Rarely,Research & Development,2.0,2.0,3.0,2,3
82,27,Travel_Rarely,Research & Development,2.0,2.0,3.0,2,3
83,37,Travel_Rarely,Sales,4.0,4.0,2.0,3,3
83,37,Travel_Rarely,Sales,4.0,4.0,2.0,3,3
84,38,Travel_Rarely,Research & Development,3.0,4.0,3.0,3,3
84,38,Travel_Rarely,Research & Development,3.0,4.0,3.0,3,3
85,31,Travel_Rarely,Research & Development,3.0,4.0,,3,3
85,31,Travel_Rarely,Research & Development,3.0,4.0,,3,3
86,29,Travel_Rarely,Research & Development,4.0,2.0,3.0,3,3
86,29,Travel_Rarely,Research & Development,4.0,2.0,3.0,3,3
87,35,Travel_Rarely,Sales,3.0,2.0,3.0,4,3
87,35,Travel_Rarely,Sales,3.0,2.0,3.0,4,3
88,23,Travel_Rarely,Research & Development,3.0,4.0,2.0,2,4
88,23,Travel_Rarely,Research & Development,3.0,4.0,2.0,2,4
89,41,Travel_Rarely,Research & Development,4.0,2.0,3.0,3,3
89,41,Travel_Rarely,Research & Development,4.0,2.0,3.0,3,3
90,47,Travel_Frequently,Sales,2.0,3.0,3.0,4,3
90,47,Travel_Frequently,Sales,2.0,3.0,3.0,4,3
91,42,Travel_Rarely,Research & Development,1.0,4.0,3.0,1,4
91,42,Travel_Rarely,Research & Development,1.0,4.0,3.0,1,4
92,29,Non-Travel,Sales,4.0,3.0,2.0,2,4
92,29,Non-Travel,Sales,4.0,3.0,2.0,2,4
93,42,Travel_Rarely,Sales,3.0,3.0,3.0,2,3
93,42,Travel_Rarely,Sales,3.0,3.0,3.0,2,3
94,32,Travel_Rarely,Research & Development,3.0,2.0,3.0,3,3
94,32,Travel_Rarely,Research & Development,3.0,2.0,3.0,3,3
95,48,Travel_Rarely,Sales,1.0,3.0,1.0,2,3
95,48,Travel_Rarely,Sales,1.0,3.0,1.0,2,3
96,37,Travel_Rarely,Research & Development,3.0,1.0,3.0,3,3
96,37,Travel_Rarely,Research & Development,3.0,1.0,3.0,3,3
97,30,Non-Travel,Sales,4.0,3.0,4.0,3,4
97,30,Non-Travel,Sales,4.0,3.0,4.0,3,4
98,26,Travel_Rarely,Sales,3.0,3.0,3.0,3,3
98,26,Travel_Rarely,Sales,3.0,3.0,3.0,3,3
99,42,Travel_Rarely,Sales,1.0,4.0,3.0,3,3
99,42,Travel_Rarely,Sales,1.0,4.0,3.0,3,3
4510,21,Travel_Frequently,Research & Development,1.0,2.0,3.0,2,3
101,36,Non-Travel,Human Resources,4.0,4.0,3.0,1,4
101,36,Non-Travel,Human Resources,4.0,4.0,3.0,1,4
102,36,Travel_Frequently,Research & Development,1.0,4.0,3.0,3,3
102,36,Travel_Frequently,Research & Development,1.0,4.0,3.0,3,3
103,57,Travel_Rarely,Research & Development,4.0,3.0,3.0,1,3
103,57,Travel_Rarely,Research & Development,4.0,3.0,3.0,1,3
104,40,Travel_Rarely,Research & Development,4.0,3.0,3.0,3,3
104,40,Travel_Rarely,Research & Development,4.0,3.0,3.0,3,3
105,21,Non-Travel,Research & Development,1.0,4.0,2.0,1,3
105,21,Non-Travel,Research & Development,1.0,4.0,2.0,1,3
4516,33,Travel_Rarely,Human Resources,4.0,3.0,3.0,1,4
107,37,Travel_Rarely,Research & Development,3.0,1.0,3.0,4,3
107,37,Travel_Rarely,Research & Development,3.0,1.0,3.0,4,3
108,46,Non-Travel,Sales,3.0,3.0,4.0,3,3
108,46,Non-Travel,Sales,3.0,3.0,4.0,3,3
4519,41,Travel_Frequently,Research & Development,1.0,2.0,3.0,4,3
110,50,Travel_Rarely,Research & Development,4.0,4.0,3.0,3,3
110,50,Travel_Rarely,Research & Development,4.0,4.0,3.0,3,3
4521,40,Travel_Rarely,Research & Development,3.0,3.0,3.0,2,4
112,31,Travel_Rarely,Research & Development,,2.0,3.0,3,4
112,31,Travel_Rarely,Research & Development,,2.0,3.0,3,4
4523,21,Travel_Rarely,Human Resources,3.0,2.0,3.0,3,3
114,29,Travel_Rarely,Research & Development,4.0,4.0,3.0,4,3
114,29,Travel_Rarely,Research & Development,4.0,4.0,3.0,4,3
115,35,Travel_Rarely,Research & Development,3.0,2.0,3.0,3,3
115,35,Travel_Rarely,Research & Development,3.0,2.0,3.0,3,3
116,27,Travel_Rarely,Sales,4.0,2.0,3.0,3,3
116,27,Travel_Rarely,Sales,4.0,2.0,3.0,3,3
117,28,Travel_Rarely,Research & Development,2.0,4.0,3.0,2,3
117,28,Travel_Rarely,Research & Development,2.0,4.0,3.0,2,3
118,49,Travel_Rarely,Sales,2.0,3.0,3.0,3,3
118,49,Travel_Rarely,Sales,2.0,3.0,3.0,3,3
119,51,Travel_Rarely,Research & Development,3.0,4.0,2.0,3,4
119,51,Travel_Rarely,Research & Development,3.0,4.0,2.0,3,4
120,36,Travel_Rarely,Sales,4.0,3.0,3.0,3,3
120,36,Travel_Rarely,Sales,4.0,3.0,3.0,3,3
4531,34,Non-Travel,Research & Development,1.0,4.0,2.0,3,4
122,55,Travel_Rarely,Sales,3.0,4.0,3.0,3,3
122,55,Travel_Rarely,Sales,3.0,4.0,3.0,3,3
123,24,Travel_Rarely,Research & Development,4.0,3.0,4.0,3,3
123,24,Travel_Rarely,Research & Development,4.0,3.0,4.0,3,3
124,30,Travel_Rarely,Research & Development,3.0,2.0,3.0,3,3
124,30,Travel_Rarely,Research & Development,3.0,2.0,3.0,3,3
4535,26,Travel_Frequently,Sales,3.0,,3.0,3,3
126,22,Travel_Rarely,Research & Development,1.0,2.0,3.0,2,3
126,22,Travel_Rarely,Research & Development,1.0,2.0,3.0,2,3
127,36,Travel_Rarely,Research & Development,2.0,3.0,3.0,3,3
127,36,Travel_Rarely,Research & Development,2.0,3.0,3.0,3,3
4538,30,Travel_Frequently,Sales,3.0,4.0,3.0,2,3
129,37,Travel_Rarely,Research & Development,4.0,1.0,2.0,3,3
129,37,Travel_Rarely,Research & Development,4.0,1.0,2.0,3,3
130,40,Travel_Rarely,Research & Development,4.0,2.0,3.0,2,3
130,40,Travel_Rarely,Research & Development,4.0,2.0,3.0,2,3
131,42,Travel_Rarely,Research & Development,2.0,1.0,3.0,2,3
131,42,Travel_Rarely,Research & Development,2.0,1.0,3.0,2,3
132,37,Travel_Rarely,Sales,3.0,2.0,2.0,2,3
132,37,Travel_Rarely,Sales,3.0,2.0,2.0,2,3
133,43,Travel_Rarely,Sales,1.0,2.0,3.0,3,3
133,43,Travel_Rarely,Sales,1.0,2.0,3.0,3,3
134,40,Travel_Rarely,Sales,2.0,3.0,3.0,2,3
134,40,Travel_Rarely,Sales,2.0,3.0,3.0,2,3
135,54,Travel_Rarely,Human Resources,1.0,1.0,2.0,2,4
135,54,Travel_Rarely,Human Resources,1.0,1.0,2.0,2,4
136,34,Non-Travel,Research & Development,3.0,3.0,3.0,3,4
136,34,Non-Travel,Research & Development,3.0,3.0,3.0,3,4
137,31,Travel_Rarely,Research & Development,2.0,1.0,1.0,2,3
137,31,Travel_Rarely,Research & Development,2.0,1.0,1.0,2,3
138,43,Travel_Frequently,Sales,4.0,4.0,3.0,2,3
138,43,Travel_Frequently,Sales,4.0,4.0,3.0,2,3
139,43,Travel_Rarely,Sales,3.0,3.0,3.0,3,3
139,43,Travel_Rarely,Sales,3.0,3.0,3.0,3,3
140,25,Travel_Rarely,Human Resources,2.0,4.0,3.0,4,3
140,25,Travel_Rarely,Human Resources,2.0,4.0,3.0,4,3
141,37,Non-Travel,Research & Development,2.0,3.0,3.0,2,4
141,37,Non-Travel,Research & Development,2.0,3.0,3.0,2,4
142,31,Travel_Rarely,Research & Development,4.0,1.0,3.0,3,3
142,31,Travel_Rarely,Research & Development,4.0,1.0,3.0,3,3
143,39,Travel_Frequently,Research & Development,2.0,3.0,3.0,1,4
143,39,Travel_Frequently,Research & Development,2.0,3.0,3.0,1,4
144,56,Travel_Frequently,Research & Development,3.0,1.0,2.0,3,3
144,56,Travel_Frequently,Research & Development,3.0,1.0,2.0,3,3
145,30,Travel_Rarely,Sales,2.0,3.0,3.0,3,3
145,30,Travel_Rarely,Sales,2.0,3.0,3.0,3,3
146,41,Travel_Rarely,Research & Development,2.0,1.0,3.0,2,3
146,41,Travel_Rarely,Research & Development,2.0,1.0,3.0,2,3
147,28,Travel_Rarely,Research & Development,3.0,1.0,3.0,2,3
147,28,Travel_Rarely,Research & Development,3.0,1.0,3.0,2,3
4558,25,Travel_Rarely,Research & Development,1.0,1.0,3.0,3,3
149,52,Travel_Rarely,Research & Development,4.0,3.0,3.0,2,4
149,52,Travel_Rarely,Research & Development,4.0,3.0,3.0,2,4
150,45,Travel_Rarely,Research & Development,1.0,4.0,2.0,3,3
150,45,Travel_Rarely,Research & Development,1.0,4.0,2.0,3,3
151,52,Travel_Rarely,Research & Development,4.0,4.0,1.0,3,3
151,52,Travel_Rarely,Research & Development,4.0,4.0,1.0,3,3
152,42,Travel_Frequently,Sales,1.0,3.0,3.0,2,3
152,42,Travel_Frequently,Sales,1.0,3.0,3.0,2,3
153,30,Travel_Rarely,Sales,3.0,4.0,3.0,3,4
153,30,Travel_Rarely,Sales,3.0,4.0,3.0,3,4
154,60,Travel_Rarely,Research & Development,1.0,1.0,1.0,3,3
154,60,Travel_Rarely,Research & Development,1.0,1.0,1.0,3,3
155,46,Travel_Rarely,Sales,3.0,3.0,2.0,2,3
155,46,Travel_Rarely,Sales,3.0,3.0,2.0,2,3
156,42,Travel_Frequently,Research & Development,4.0,4.0,4.0,3,3
156,42,Travel_Frequently,Research & Development,4.0,4.0,4.0,3,3
4567,24,Travel_Rarely,Research & Development,1.0,2.0,3.0,2,3
4568,34,Travel_Frequently,Research & Development,4.0,3.0,2.0,3,4
159,38,Travel_Frequently,Sales,4.0,4.0,3.0,3,3
159,38,Travel_Frequently,Sales,4.0,4.0,3.0,3,3
160,40,Travel_Rarely,Sales,3.0,3.0,3.0,2,3
160,40,Travel_Rarely,Sales,3.0,3.0,3.0,2,3
161,26,Travel_Rarely,Research & Development,1.0,4.0,1.0,4,4
161,26,Travel_Rarely,Research & Development,1.0,4.0,1.0,4,4
162,30,Non-Travel,Research & Development,3.0,4.0,1.0,2,3
162,30,Non-Travel,Research & Development,3.0,4.0,1.0,2,3
163,29,Travel_Rarely,Research & Development,2.0,3.0,3.0,3,3
163,29,Travel_Rarely,Research & Development,2.0,3.0,3.0,3,3
4574,29,Travel_Rarely,Research & Development,3.0,2.0,4.0,2,3
4575,19,Travel_Rarely,Research & Development,1.0,4.0,4.0,3,3
166,30,Non-Travel,Research & Development,3.0,1.0,3.0,3,3
166,30,Non-Travel,Research & Development,3.0,1.0,3.0,3,3
167,57,Travel_Rarely,Research & Development,1.0,4.0,2.0,3,3
167,57,Travel_Rarely,Research & Development,1.0,4.0,2.0,3,3
168,50,Travel_Rarely,Sales,2.0,3.0,3.0,3,3
168,50,Travel_Rarely,Sales,2.0,3.0,3.0,3,3
169,30,Non-Travel,Sales,3.0,4.0,2.0,3,4
169,30,Non-Travel,Sales,3.0,4.0,2.0,3,4
170,60,Travel_Frequently,Research & Development,3.0,1.0,4.0,3,4
170,60,Travel_Frequently,Research & Development,3.0,1.0,4.0,3,4
171,47,Travel_Rarely,Research & Development,1.0,4.0,3.0,2,3
171,47,Travel_Rarely,Research & Development,1.0,4.0,3.0,2,3
172,46,Travel_Rarely,Sales,1.0,3.0,1.0,2,4
172,46,Travel_Rarely,Sales,1.0,3.0,1.0,2,4
173,35,Travel_Rarely,Research & Development,4.0,3.0,3.0,3,3
173,35,Travel_Rarely,Research & Development,4.0,3.0,3.0,3,3
174,54,Travel_Rarely,Research & Development,3.0,3.0,3.0,3,3
174,54,Travel_Rarely,Research & Development,3.0,3.0,3.0,3,3
175,34,Travel_Rarely,Sales,4.0,3.0,3.0,4,3
175,34,Travel_Rarely,Sales,4.0,3.0,3.0,4,3
176,46,Travel_Rarely,Research & Development,3.0,4.0,3.0,2,3
176,46,Travel_Rarely,Research & Development,3.0,4.0,3.0,2,3
177,31,Travel_Rarely,Research & Development,3.0,2.0,4.0,3,3
177,31,Travel_Rarely,Research & Development,3.0,2.0,4.0,3,3
4588,33,Travel_Rarely,Research & Development,2.0,3.0,4.0,2,4
4589,33,Travel_Rarely,Sales,1.0,4.0,3.0,3,4
180,30,Travel_Rarely,Research & Development,4.0,2.0,3.0,3,3
180,30,Travel_Rarely,Research & Development,4.0,2.0,3.0,3,3
181,35,Travel_Rarely,Research & Development,4.0,3.0,3.0,1,4
181,35,Travel_Rarely,Research & Development,4.0,3.0,3.0,1,4
4592,31,Travel_Frequently,Research & Development,1.0,3.0,3.0,2,3
4593,34,Travel_Frequently,Sales,2.0,1.0,3.0,4,4
184,42,Travel_Frequently,Research & Development,2.0,3.0,3.0,2,3
184,42,Travel_Frequently,Research & Development,2.0,3.0,3.0,2,3
185,36,Non-Travel,Research & Development,2.0,4.0,2.0,3,3
185,36,Non-Travel,Research & Development,2.0,4.0,2.0,3,3
4596,22,Travel_Frequently,Research & Development,3.0,3.0,3.0,3,3
187,48,Travel_Rarely,Research & Development,2.0,4.0,3.0,3,3
187,48,Travel_Rarely,Research & Development,2.0,4.0,3.0,3,3
188,55,Travel_Rarely,Research & Development,1.0,2.0,3.0,3,3
188,55,Travel_Rarely,Research & Development,1.0,2.0,3.0,3,3
189,41,Non-Travel,Research & Development,4.0,4.0,3.0,2,3
189,41,Non-Travel,Research & Development,4.0,4.0,3.0,2,3
190,35,Travel_Rarely,Research & Development,2.0,3.0,3.0,2,3
190,35,Travel_Rarely,Research & Development,2.0,3.0,3.0,2,3
191,40,Travel_Rarely,Research & Development,2.0,3.0,3.0,3,3
191,40,Travel_Rarely,Research & Development,2.0,3.0,3.0,3,3
192,39,Travel_Frequently,Research & Development,3.0,3.0,3.0,3,3
192,39,Travel_Frequently,Research & Development,3.0,3.0,3.0,3,3
193,31,Travel_Rarely,Research & Development,2.0,4.0,4.0,2,3
193,31,Travel_Rarely,Research & Development,2.0,4.0,4.0,2,3
194,42,Travel_Rarely,Research & Development,4.0,1.0,2.0,3,3
194,42,Travel_Rarely,Research & Development,4.0,1.0,2.0,3,3
195,45,Travel_Rarely,Research & Development,4.0,2.0,4.0,3,4
195,45,Travel_Rarely,Research & Development,4.0,2.0,4.0,3,4
4606,26,Travel_Frequently,Research & Development,,3.0,2.0,3,3
197,29,Travel_Rarely,Research & Development,4.0,4.0,4.0,2,3
197,29,Travel_Rarely,Research & Development,4.0,4.0,4.0,2,3
198,33,Travel_Rarely,Research & Development,1.0,3.0,3.0,3,3
198,33,Travel_Rarely,Research & Development,1.0,3.0,3.0,3,3
199,31,Travel_Rarely,Research & Development,3.0,4.0,2.0,3,3
199,31,Travel_Rarely,Research & Development,3.0,4.0,2.0,3,3
4610,18,Travel_Frequently,Research & Development,2.0,2.0,3.0,4,3
201,40,Non-Travel,Research & Development,3.0,1.0,3.0,2,3
201,40,Non-Travel,Research & Development,3.0,1.0,3.0,2,3
202,41,Non-Travel,Research & Development,1.0,3.0,3.0,2,3
202,41,Non-Travel,Research & Development,1.0,3.0,3.0,2,3
203,26,Travel_Rarely,Research & Development,1.0,3.0,3.0,2,3
203,26,Travel_Rarely,Research & Development,1.0,3.0,3.0,2,3
204,35,Travel_Rarely,Research & Development,1.0,3.0,3.0,2,3
204,35,Travel_Rarely,Research & Development,1.0,3.0,3.0,2,3
205,34,Travel_Rarely,Research & Development,4.0,4.0,3.0,2,3
205,34,Travel_Rarely,Research & Development,4.0,4.0,3.0,2,3
4616,26,Travel_Rarely,Sales,3.0,4.0,1.0,1,4
207,37,Travel_Rarely,Research & Development,2.0,4.0,4.0,3,3
207,37,Travel_Rarely,Research & Development,2.0,4.0,4.0,3,3
208,46,Travel_Frequently,Research & Development,1.0,3.0,2.0,3,3
208,46,Travel_Frequently,Research & Development,1.0,3.0,2.0,3,3
209,41,Travel_Rarely,Research & Development,2.0,1.0,3.0,3,3
209,41,Travel_Rarely,Research & Development,2.0,1.0,3.0,3,3
210,37,Non-Travel,Research & Development,1.0,2.0,3.0,3,3
210,37,Non-Travel,Research & Development,1.0,2.0,3.0,3,3
211,52,Travel_Rarely,Sales,4.0,1.0,3.0,3,3
211,52,Travel_Rarely,Sales,4.0,1.0,3.0,3,3
4622,32,Non-Travel,Research & Development,4.0,3.0,3.0,2,4
213,24,Travel_Frequently,Sales,4.0,4.0,3.0,2,3
213,24,Travel_Frequently,Sales,4.0,4.0,3.0,2,3
214,38,Travel_Rarely,Research & Development,3.0,3.0,3.0,3,3
214,38,Travel_Rarely,Research & Development,3.0,3.0,3.0,3,3
215,37,Travel_Rarely,Research & Development,2.0,2.0,2.0,3,3
215,37,Travel_Rarely,Research & Development,2.0,2.0,2.0,3,3
216,49,Travel_Rarely,Sales,4.0,3.0,3.0,1,3
216,49,Travel_Rarely,Sales,4.0,3.0,3.0,1,3
217,24,Travel_Rarely,Sales,2.0,4.0,3.0,2,3
217,24,Travel_Rarely,Sales,2.0,4.0,3.0,2,3
218,26,Travel_Rarely,Research & Development,1.0,2.0,4.0,3,3
218,26,Travel_Rarely,Research & Development,1.0,2.0,4.0,3,3
219,24,Travel_Rarely,Sales,4.0,2.0,3.0,1,3
